epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,791.743,0.54062,0.42666,0.88904,0.8821,0.99771,0.98327,0.84906,0.62871,0.50594,0.93222,0.0002377,0.0002377,0.0002377
79,801.543,0.51335,0.41699,0.84945,0.88204,0.99714,0.98327,0.85195,0.63474,0.49268,0.93808,0.0002278,0.0002278,0.0002278
80,811.059,0.58232,0.46249,0.90115,0.88202,0.99701,0.98327,0.83786,0.64115,0.49535,0.94064,0.0002179,0.0002179,0.0002179
81,820.612,0.54026,0.42271,0.86622,0.8818,0.99502,0.98327,0.8325,0.63902,0.49491,0.94265,0.000208,0.000208,0.000208
82,831.004,0.49829,0.41263,0.85886,0.88186,0.99553,0.98327,0.8265,0.62901,0.48637,0.94056,0.0001981,0.0001981,0.0001981
83,840.882,0.50175,0.40653,0.85556,1,0.92451,0.98794,0.84283,0.59121,0.47963,0.94065,0.0001882,0.0001882,0.0001882
84,851.185,0.52518,0.40852,0.87433,1,0.92547,0.98794,0.84473,0.57892,0.47752,0.93628,0.0001783,0.0001783,0.0001783
85,864.107,0.50808,0.41208,0.87312,1,0.92534,0.98794,0.86079,0.56708,0.47053,0.9376,0.0001684,0.0001684,0.0001684
86,874.941,0.52047,0.41288,0.85998,1,0.92507,0.98794,0.85579,0.56831,0.47125,0.94119,0.0001585,0.0001585,0.0001585
87,885.077,0.54271,0.41988,0.89117,1,0.93133,0.98794,0.84784,0.56996,0.46229,0.94511,0.0001486,0.0001486,0.0001486
88,894.339,0.53824,0.43819,0.92588,0.99924,0.93333,0.98794,0.84577,0.57036,0.45931,0.94493,0.0001387,0.0001387,0.0001387
89,903.838,0.50215,0.41228,0.85867,0.9942,0.93333,0.98794,0.85175,0.57789,0.44385,0.94392,0.0001288,0.0001288,0.0001288
